"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"65","Nov-04","Female","Under 18","E00024278","Up to 3 months","Children",0
"66","Feb-05","Female","Under 18","E00024278","Up to 3 months","Children",0
"67","May-05","Female","Under 18","E00024278","Up to 3 months","Children",0
"68","Aug-05","Female","Under 18","E00024278","Up to 3 months","Children",0
"69","Nov-05","Female","Under 18","E00024278","Up to 3 months","Children",0
"70","Feb-06","Female","Under 18","E00024278","Up to 3 months","Children",0
"71","May-06","Female","Under 18","E00024278","Up to 3 months","Children",0
"72","Aug-06","Female","Under 18","E00024278","Up to 3 months","Children",0
"73","Nov-06","Female","Under 18","E00024278","Up to 3 months","Children",0
"74","Feb-07","Female","Under 18","E00024278","Up to 3 months","Children",0
"75","May-07","Female","Under 18","E00024278","Up to 3 months","Children",0
"76","Aug-07","Female","Under 18","E00024278","Up to 3 months","Children",0
"77","Nov-07","Female","Under 18","E00024278","Up to 3 months","Children",0
"78","Feb-08","Female","Under 18","E00024278","Up to 3 months","Children",0
"79","May-08","Female","Under 18","E00024278","Up to 3 months","Children",0
"80","Aug-08","Female","Under 18","E00024278","Up to 3 months","Children",0
"81","Nov-08","Female","Under 18","E00024278","Up to 3 months","Children",0
"82","Feb-09","Female","Under 18","E00024278","Up to 3 months","Children",0
"83","May-09","Female","Under 18","E00024278","Up to 3 months","Children",0
"84","Aug-09","Female","Under 18","E00024278","Up to 3 months","Children",0
"85","Nov-09","Female","Under 18","E00024278","Up to 3 months","Children",0
"86","Feb-10","Female","Under 18","E00024278","Up to 3 months","Children",0
"87","May-10","Female","Under 18","E00024278","Up to 3 months","Children",0
"88","Aug-10","Female","Under 18","E00024278","Up to 3 months","Children",0
"89","Nov-10","Female","Under 18","E00024278","Up to 3 months","Children",0
"90","Feb-11","Female","Under 18","E00024278","Up to 3 months","Children",0
"91","May-11","Female","Under 18","E00024278","Up to 3 months","Children",0
"92","Aug-11","Female","Under 18","E00024278","Up to 3 months","Children",0
"93","Nov-11","Female","Under 18","E00024278","Up to 3 months","Children",0
"94","Feb-12","Female","Under 18","E00024278","Up to 3 months","Children",0
"95","May-12","Female","Under 18","E00024278","Up to 3 months","Children",0
"96","Aug-12","Female","Under 18","E00024278","Up to 3 months","Children",0
"97","Nov-12","Female","Under 18","E00024278","Up to 3 months","Children",0
"98","Feb-13","Female","Under 18","E00024278","Up to 3 months","Children",0
"99","May-13","Female","Under 18","E00024278","Up to 3 months","Children",0
"100","Aug-13","Female","Under 18","E00024278","Up to 3 months","Children",0
"101","Nov-13","Female","Under 18","E00024278","Up to 3 months","Children",0
"102","Feb-14","Female","Under 18","E00024278","Up to 3 months","Children",0
"103","May-14","Female","Under 18","E00024278","Up to 3 months","Children",0
"104","Aug-14","Female","Under 18","E00024278","Up to 3 months","Children",0
"105","Nov-14","Female","Under 18","E00024278","Up to 3 months","Children",0
"106","Feb-15","Female","Under 18","E00024278","Up to 3 months","Children",0
"107","May-15","Female","Under 18","E00024278","Up to 3 months","Children",0
"108","Aug-15","Female","Under 18","E00024278","Up to 3 months","Children",0
"109","Nov-15","Female","Under 18","E00024278","Up to 3 months","Children",0
"110","Feb-16","Female","Under 18","E00024278","Up to 3 months","Children",0
"111","May-16","Female","Under 18","E00024278","Up to 3 months","Children",0
"112","Aug-16","Female","Under 18","E00024278","Up to 3 months","Children",0
"113","Nov-16","Female","Under 18","E00024278","Up to 3 months","Children",0
"114","Feb-17","Female","Under 18","E00024278","Up to 3 months","Children",0
"115","May-17","Female","Under 18","E00024278","Up to 3 months","Children",0
"116","Aug-17","Female","Under 18","E00024278","Up to 3 months","Children",0
"117","Nov-17","Female","Under 18","E00024278","Up to 3 months","Children",0
"118","Feb-18","Female","Under 18","E00024278","Up to 3 months","Children",0
"119","Aug-03","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"120","Nov-03","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"121","Feb-04","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"122","May-04","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"123","Aug-04","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"124","Nov-04","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"125","Feb-05","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"126","May-05","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"127","Aug-05","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"128","Nov-05","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"129","Feb-06","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"130","May-06","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"131","Aug-06","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"132","Nov-06","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"133","Feb-07","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"134","May-07","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"135","Aug-07","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"136","Nov-07","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"137","Feb-08","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"138","May-08","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"139","Aug-08","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"140","Nov-08","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"141","Feb-09","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"142","May-09","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"143","Aug-09","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"144","Nov-09","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"145","Feb-10","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"146","May-10","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"147","Aug-10","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"148","Nov-10","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"149","Feb-11","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"150","May-11","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"151","Aug-11","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"152","Nov-11","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"153","Feb-12","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"154","May-12","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"155","Aug-12","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"156","Nov-12","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"157","Feb-13","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"158","May-13","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"159","Aug-13","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"160","Nov-13","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"161","Feb-14","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"162","May-14","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"163","Aug-14","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"164","Nov-14","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"165","Feb-15","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"166","May-15","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"167","Aug-15","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"168","Nov-15","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"169","Feb-16","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"170","May-16","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"171","Aug-16","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"172","Nov-16","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"173","Feb-17","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"174","May-17","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"175","Aug-17","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"176","Nov-17","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"177","Feb-18","Unknown","Under 18","E00024278","Up to 3 months","Children",0
"178","Aug-03","Male","18-24","E00024278","Up to 3 months","Children",0
"179","Nov-03","Male","18-24","E00024278","Up to 3 months","Children",0
"180","Feb-04","Male","18-24","E00024278","Up to 3 months","Children",0
"181","May-04","Male","18-24","E00024278","Up to 3 months","Children",0
"182","Aug-04","Male","18-24","E00024278","Up to 3 months","Children",0
"183","Nov-04","Male","18-24","E00024278","Up to 3 months","Children",0
"184","Feb-05","Male","18-24","E00024278","Up to 3 months","Children",0
"185","May-05","Male","18-24","E00024278","Up to 3 months","Children",0
"186","Aug-05","Male","18-24","E00024278","Up to 3 months","Children",0
"187","Nov-05","Male","18-24","E00024278","Up to 3 months","Children",0
"188","Feb-06","Male","18-24","E00024278","Up to 3 months","Children",0
"189","May-06","Male","18-24","E00024278","Up to 3 months","Children",0
"190","Aug-06","Male","18-24","E00024278","Up to 3 months","Children",0
"191","Nov-06","Male","18-24","E00024278","Up to 3 months","Children",0
"192","Feb-07","Male","18-24","E00024278","Up to 3 months","Children",0
"193","May-07","Male","18-24","E00024278","Up to 3 months","Children",0
"194","Aug-07","Male","18-24","E00024278","Up to 3 months","Children",0
"195","Nov-07","Male","18-24","E00024278","Up to 3 months","Children",0
"196","Feb-08","Male","18-24","E00024278","Up to 3 months","Children",0
"197","May-08","Male","18-24","E00024278","Up to 3 months","Children",0
"198","Aug-08","Male","18-24","E00024278","Up to 3 months","Children",0
"199","Nov-08","Male","18-24","E00024278","Up to 3 months","Children",0
"200","Feb-09","Male","18-24","E00024278","Up to 3 months","Children",0
"201","May-09","Male","18-24","E00024278","Up to 3 months","Children",0
"202","Aug-09","Male","18-24","E00024278","Up to 3 months","Children",0
"203","Nov-09","Male","18-24","E00024278","Up to 3 months","Children",0
"204","Feb-10","Male","18-24","E00024278","Up to 3 months","Children",0
"205","May-10","Male","18-24","E00024278","Up to 3 months","Children",0
"206","Aug-10","Male","18-24","E00024278","Up to 3 months","Children",0
"207","Nov-10","Male","18-24","E00024278","Up to 3 months","Children",0
"208","Feb-11","Male","18-24","E00024278","Up to 3 months","Children",0
"209","May-11","Male","18-24","E00024278","Up to 3 months","Children",0
"210","Aug-11","Male","18-24","E00024278","Up to 3 months","Children",0
"211","Nov-11","Male","18-24","E00024278","Up to 3 months","Children",0
"212","Feb-12","Male","18-24","E00024278","Up to 3 months","Children",0
"213","May-12","Male","18-24","E00024278","Up to 3 months","Children",0
"214","Aug-12","Male","18-24","E00024278","Up to 3 months","Children",0
"215","Nov-12","Male","18-24","E00024278","Up to 3 months","Children",0
"216","Feb-13","Male","18-24","E00024278","Up to 3 months","Children",0
"217","May-13","Male","18-24","E00024278","Up to 3 months","Children",0
"218","Aug-13","Male","18-24","E00024278","Up to 3 months","Children",0
"219","Nov-13","Male","18-24","E00024278","Up to 3 months","Children",0
"220","Feb-14","Male","18-24","E00024278","Up to 3 months","Children",0
"221","May-14","Male","18-24","E00024278","Up to 3 months","Children",0
"222","Aug-14","Male","18-24","E00024278","Up to 3 months","Children",0
"223","Nov-14","Male","18-24","E00024278","Up to 3 months","Children",0
"224","Feb-15","Male","18-24","E00024278","Up to 3 months","Children",0
"225","May-15","Male","18-24","E00024278","Up to 3 months","Children",0
"226","Aug-15","Male","18-24","E00024278","Up to 3 months","Children",0
"227","Nov-15","Male","18-24","E00024278","Up to 3 months","Children",0
"228","Feb-16","Male","18-24","E00024278","Up to 3 months","Children",0
"229","May-16","Male","18-24","E00024278","Up to 3 months","Children",0
"230","Aug-16","Male","18-24","E00024278","Up to 3 months","Children",0
"231","Nov-16","Male","18-24","E00024278","Up to 3 months","Children",0
"232","Feb-17","Male","18-24","E00024278","Up to 3 months","Children",0
"233","May-17","Male","18-24","E00024278","Up to 3 months","Children",0
"234","Aug-17","Male","18-24","E00024278","Up to 3 months","Children",0
"235","Nov-17","Male","18-24","E00024278","Up to 3 months","Children",0
"236","Feb-18","Male","18-24","E00024278","Up to 3 months","Children",0
"237","Aug-03","Female","18-24","E00024278","Up to 3 months","Children",0
"238","Nov-03","Female","18-24","E00024278","Up to 3 months","Children",0
"239","Feb-04","Female","18-24","E00024278","Up to 3 months","Children",0
"240","May-04","Female","18-24","E00024278","Up to 3 months","Children",0
"241","Aug-04","Female","18-24","E00024278","Up to 3 months","Children",0
"242","Nov-04","Female","18-24","E00024278","Up to 3 months","Children",0
"243","Feb-05","Female","18-24","E00024278","Up to 3 months","Children",0
"244","May-05","Female","18-24","E00024278","Up to 3 months","Children",0
"245","Aug-05","Female","18-24","E00024278","Up to 3 months","Children",0
"246","Nov-05","Female","18-24","E00024278","Up to 3 months","Children",0
"247","Feb-06","Female","18-24","E00024278","Up to 3 months","Children",0
"248","May-06","Female","18-24","E00024278","Up to 3 months","Children",0
"249","Aug-06","Female","18-24","E00024278","Up to 3 months","Children",0
"250","Nov-06","Female","18-24","E00024278","Up to 3 months","Children",0
"251","Feb-07","Female","18-24","E00024278","Up to 3 months","Children",0
"252","May-07","Female","18-24","E00024278","Up to 3 months","Children",0
"253","Aug-07","Female","18-24","E00024278","Up to 3 months","Children",0
"254","Nov-07","Female","18-24","E00024278","Up to 3 months","Children",0
"255","Feb-08","Female","18-24","E00024278","Up to 3 months","Children",0
"256","May-08","Female","18-24","E00024278","Up to 3 months","Children",0
"257","Aug-08","Female","18-24","E00024278","Up to 3 months","Children",0
"258","Nov-08","Female","18-24","E00024278","Up to 3 months","Children",0
"259","Feb-09","Female","18-24","E00024278","Up to 3 months","Children",0
"260","May-09","Female","18-24","E00024278","Up to 3 months","Children",0
"261","Aug-09","Female","18-24","E00024278","Up to 3 months","Children",0
"262","Nov-09","Female","18-24","E00024278","Up to 3 months","Children",0
"263","Feb-10","Female","18-24","E00024278","Up to 3 months","Children",0
"264","May-10","Female","18-24","E00024278","Up to 3 months","Children",0
"265","Aug-10","Female","18-24","E00024278","Up to 3 months","Children",0
"266","Nov-10","Female","18-24","E00024278","Up to 3 months","Children",0
"267","Feb-11","Female","18-24","E00024278","Up to 3 months","Children",0
"268","May-11","Female","18-24","E00024278","Up to 3 months","Children",0
"269","Aug-11","Female","18-24","E00024278","Up to 3 months","Children",0
"270","Nov-11","Female","18-24","E00024278","Up to 3 months","Children",0
"271","Feb-12","Female","18-24","E00024278","Up to 3 months","Children",0
"272","May-12","Female","18-24","E00024278","Up to 3 months","Children",0
"273","Aug-12","Female","18-24","E00024278","Up to 3 months","Children",0
"274","Nov-12","Female","18-24","E00024278","Up to 3 months","Children",0
"275","Feb-13","Female","18-24","E00024278","Up to 3 months","Children",0
"276","May-13","Female","18-24","E00024278","Up to 3 months","Children",0
"277","Aug-13","Female","18-24","E00024278","Up to 3 months","Children",0
"278","Nov-13","Female","18-24","E00024278","Up to 3 months","Children",0
"279","Feb-14","Female","18-24","E00024278","Up to 3 months","Children",0
"280","May-14","Female","18-24","E00024278","Up to 3 months","Children",0
"281","Aug-14","Female","18-24","E00024278","Up to 3 months","Children",0
"282","Nov-14","Female","18-24","E00024278","Up to 3 months","Children",0
"283","Feb-15","Female","18-24","E00024278","Up to 3 months","Children",0
"284","May-15","Female","18-24","E00024278","Up to 3 months","Children",0
"285","Aug-15","Female","18-24","E00024278","Up to 3 months","Children",0
"286","Nov-15","Female","18-24","E00024278","Up to 3 months","Children",0
"287","Feb-16","Female","18-24","E00024278","Up to 3 months","Children",0
"288","May-16","Female","18-24","E00024278","Up to 3 months","Children",0
"289","Aug-16","Female","18-24","E00024278","Up to 3 months","Children",0
"290","Nov-16","Female","18-24","E00024278","Up to 3 months","Children",0
"291","Feb-17","Female","18-24","E00024278","Up to 3 months","Children",0
"292","May-17","Female","18-24","E00024278","Up to 3 months","Children",0
"293","Aug-17","Female","18-24","E00024278","Up to 3 months","Children",0
"294","Nov-17","Female","18-24","E00024278","Up to 3 months","Children",0
"295","Feb-18","Female","18-24","E00024278","Up to 3 months","Children",0
"296","Aug-03","Unknown","18-24","E00024278","Up to 3 months","Children",0
"297","Nov-03","Unknown","18-24","E00024278","Up to 3 months","Children",0
"298","Feb-04","Unknown","18-24","E00024278","Up to 3 months","Children",0
"299","May-04","Unknown","18-24","E00024278","Up to 3 months","Children",0
"300","Aug-04","Unknown","18-24","E00024278","Up to 3 months","Children",0
"301","Nov-04","Unknown","18-24","E00024278","Up to 3 months","Children",0
"302","Feb-05","Unknown","18-24","E00024278","Up to 3 months","Children",0
"303","May-05","Unknown","18-24","E00024278","Up to 3 months","Children",0
"304","Aug-05","Unknown","18-24","E00024278","Up to 3 months","Children",0
"305","Nov-05","Unknown","18-24","E00024278","Up to 3 months","Children",0
"306","Feb-06","Unknown","18-24","E00024278","Up to 3 months","Children",0
"307","May-06","Unknown","18-24","E00024278","Up to 3 months","Children",0
"308","Aug-06","Unknown","18-24","E00024278","Up to 3 months","Children",0
"309","Nov-06","Unknown","18-24","E00024278","Up to 3 months","Children",0
"310","Feb-07","Unknown","18-24","E00024278","Up to 3 months","Children",0
"311","May-07","Unknown","18-24","E00024278","Up to 3 months","Children",0
"312","Aug-07","Unknown","18-24","E00024278","Up to 3 months","Children",0
"313","Nov-07","Unknown","18-24","E00024278","Up to 3 months","Children",0
"314","Feb-08","Unknown","18-24","E00024278","Up to 3 months","Children",0
"315","May-08","Unknown","18-24","E00024278","Up to 3 months","Children",0
"316","Aug-08","Unknown","18-24","E00024278","Up to 3 months","Children",0
"317","Nov-08","Unknown","18-24","E00024278","Up to 3 months","Children",0
"318","Feb-09","Unknown","18-24","E00024278","Up to 3 months","Children",0
"319","May-09","Unknown","18-24","E00024278","Up to 3 months","Children",0
"320","Aug-09","Unknown","18-24","E00024278","Up to 3 months","Children",0
"321","Nov-09","Unknown","18-24","E00024278","Up to 3 months","Children",0
"322","Feb-10","Unknown","18-24","E00024278","Up to 3 months","Children",0
"323","May-10","Unknown","18-24","E00024278","Up to 3 months","Children",0
"324","Aug-10","Unknown","18-24","E00024278","Up to 3 months","Children",0
"325","Nov-10","Unknown","18-24","E00024278","Up to 3 months","Children",0
"326","Feb-11","Unknown","18-24","E00024278","Up to 3 months","Children",0
"327","May-11","Unknown","18-24","E00024278","Up to 3 months","Children",0
"328","Aug-11","Unknown","18-24","E00024278","Up to 3 months","Children",0
"329","Nov-11","Unknown","18-24","E00024278","Up to 3 months","Children",0
"330","Feb-12","Unknown","18-24","E00024278","Up to 3 months","Children",0
"331","May-12","Unknown","18-24","E00024278","Up to 3 months","Children",0
"332","Aug-12","Unknown","18-24","E00024278","Up to 3 months","Children",0
"333","Nov-12","Unknown","18-24","E00024278","Up to 3 months","Children",0
"334","Feb-13","Unknown","18-24","E00024278","Up to 3 months","Children",0
"335","May-13","Unknown","18-24","E00024278","Up to 3 months","Children",0
"336","Aug-13","Unknown","18-24","E00024278","Up to 3 months","Children",0
"337","Nov-13","Unknown","18-24","E00024278","Up to 3 months","Children",0
"338","Feb-14","Unknown","18-24","E00024278","Up to 3 months","Children",0
"339","May-14","Unknown","18-24","E00024278","Up to 3 months","Children",0
"340","Aug-14","Unknown","18-24","E00024278","Up to 3 months","Children",0
"341","Nov-14","Unknown","18-24","E00024278","Up to 3 months","Children",0
"342","Feb-15","Unknown","18-24","E00024278","Up to 3 months","Children",0
"343","May-15","Unknown","18-24","E00024278","Up to 3 months","Children",0
"344","Aug-15","Unknown","18-24","E00024278","Up to 3 months","Children",0
"345","Nov-15","Unknown","18-24","E00024278","Up to 3 months","Children",0
"346","Feb-16","Unknown","18-24","E00024278","Up to 3 months","Children",0
"347","May-16","Unknown","18-24","E00024278","Up to 3 months","Children",0
"348","Aug-16","Unknown","18-24","E00024278","Up to 3 months","Children",0
"349","Nov-16","Unknown","18-24","E00024278","Up to 3 months","Children",0
"350","Feb-17","Unknown","18-24","E00024278","Up to 3 months","Children",0
"351","May-17","Unknown","18-24","E00024278","Up to 3 months","Children",0
"352","Aug-17","Unknown","18-24","E00024278","Up to 3 months","Children",0
"353","Nov-17","Unknown","18-24","E00024278","Up to 3 months","Children",0
"354","Feb-18","Unknown","18-24","E00024278","Up to 3 months","Children",0
"355","Aug-03","Male","25-29","E00024278","Up to 3 months","Children",0
"356","Nov-03","Male","25-29","E00024278","Up to 3 months","Children",0
"357","Feb-04","Male","25-29","E00024278","Up to 3 months","Children",0
"358","May-04","Male","25-29","E00024278","Up to 3 months","Children",0
"359","Aug-04","Male","25-29","E00024278","Up to 3 months","Children",0
"360","Nov-04","Male","25-29","E00024278","Up to 3 months","Children",0
"361","Feb-05","Male","25-29","E00024278","Up to 3 months","Children",0
"362","May-05","Male","25-29","E00024278","Up to 3 months","Children",0
"363","Aug-05","Male","25-29","E00024278","Up to 3 months","Children",0
"364","Nov-05","Male","25-29","E00024278","Up to 3 months","Children",0
"365","Feb-06","Male","25-29","E00024278","Up to 3 months","Children",0
"366","May-06","Male","25-29","E00024278","Up to 3 months","Children",0
"367","Aug-06","Male","25-29","E00024278","Up to 3 months","Children",0
"368","Nov-06","Male","25-29","E00024278","Up to 3 months","Children",0
"369","Feb-07","Male","25-29","E00024278","Up to 3 months","Children",0
"370","May-07","Male","25-29","E00024278","Up to 3 months","Children",0
"371","Aug-07","Male","25-29","E00024278","Up to 3 months","Children",0
"372","Nov-07","Male","25-29","E00024278","Up to 3 months","Children",0
"373","Feb-08","Male","25-29","E00024278","Up to 3 months","Children",0
"374","May-08","Male","25-29","E00024278","Up to 3 months","Children",0
"375","Aug-08","Male","25-29","E00024278","Up to 3 months","Children",0
"376","Nov-08","Male","25-29","E00024278","Up to 3 months","Children",0
"377","Feb-09","Male","25-29","E00024278","Up to 3 months","Children",0
"378","May-09","Male","25-29","E00024278","Up to 3 months","Children",0
"379","Aug-09","Male","25-29","E00024278","Up to 3 months","Children",0
"380","Nov-09","Male","25-29","E00024278","Up to 3 months","Children",0
"381","Feb-10","Male","25-29","E00024278","Up to 3 months","Children",0
"382","May-10","Male","25-29","E00024278","Up to 3 months","Children",0
"383","Aug-10","Male","25-29","E00024278","Up to 3 months","Children",0
"384","Nov-10","Male","25-29","E00024278","Up to 3 months","Children",0
"385","Feb-11","Male","25-29","E00024278","Up to 3 months","Children",0
"386","May-11","Male","25-29","E00024278","Up to 3 months","Children",0
"387","Aug-11","Male","25-29","E00024278","Up to 3 months","Children",0
"388","Nov-11","Male","25-29","E00024278","Up to 3 months","Children",0
"389","Feb-12","Male","25-29","E00024278","Up to 3 months","Children",0
"390","May-12","Male","25-29","E00024278","Up to 3 months","Children",0
"391","Aug-12","Male","25-29","E00024278","Up to 3 months","Children",0
"392","Nov-12","Male","25-29","E00024278","Up to 3 months","Children",0
"393","Feb-13","Male","25-29","E00024278","Up to 3 months","Children",0
"394","May-13","Male","25-29","E00024278","Up to 3 months","Children",0
"395","Aug-13","Male","25-29","E00024278","Up to 3 months","Children",0
"396","Nov-13","Male","25-29","E00024278","Up to 3 months","Children",0
"397","Feb-14","Male","25-29","E00024278","Up to 3 months","Children",0
"398","May-14","Male","25-29","E00024278","Up to 3 months","Children",0
"399","Aug-14","Male","25-29","E00024278","Up to 3 months","Children",0
"400","Nov-14","Male","25-29","E00024278","Up to 3 months","Children",0
"401","Feb-15","Male","25-29","E00024278","Up to 3 months","Children",0
"402","May-15","Male","25-29","E00024278","Up to 3 months","Children",0
